parts,label,sample_id,type,cbo,dit,rfc,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,nosi,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,RM_LOC,RM_LCOM5,RM_NADC,RM_ATFD,RM_WMC
train,major,6239751,1,10,1,32,0,0,3,0,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,6,1,7,4,0,3,2,9,24,1,18,5,0,0,0,84,1,0,78,1,0,0,15
train,major,5882175,1,34,2,49,0,0,14,0,13,1,0,0,13,0,0,0,7,3,2,2,0,3,3,2,16,0,8,1,0,78,1,43,4,38,3,0,0,0,132,1,2,170,0.8571,0,0,34
train,major,5857991,1,21,6,68,0,0,11,1,9,2,0,0,9,0,0,0,8,2,0,8,0,0,2,15,7,2,2,2,8,57,20,56,9,47,2,5,0,0,205,1,0,219,0.925,0,0,33
train,major,7356691,1,18,2,30,0,0,4,0,4,0,0,0,4,0,0,0,2,1,0,2,0,0,2,14,3,0,10,0,8,11,8,33,0,22,2,0,0,0,74,17,0,80,1,0,0,21
train,major,7399428,1,4,1,43,0,0,36,3,7,29,0,0,7,0,0,0,11,1,0,11,0,0,6,12,29,10,35,0,4,36,25,62,2,41,3,0,0,0,128,1,0,418,0.9143,0,0,135
train,major,4241628,1,13,8,12,0,0,11,0,1,0,10,0,11,0,0,0,4,4,0,4,0,0,4,0,9,4,3,1,2,2,10,21,1,19,3,4,6,0,88,1,0,106,0.975,0,0,24
train,major,3764238,1,62,1,37,0,0,29,29,29,0,0,0,29,0,0,0,0,0,0,0,0,0,0,30,29,0,1,2,0,7,1,42,3,41,2,0,0,0,80,1,0,152,0,0,0,33
train,major,7677023,1,22,1,63,-1,-1,10,1,1,9,0,0,1,0,0,0,4,1,0,4,0,0,1,18,18,4,13,1,1,25,6,38,4,29,2,1,0,0,180,1,0,145,1,0,0,30
train,major,5470060,1,11,1,80,-1,-1,15,2,1,14,0,0,1,0,0,0,32,32,0,32,0,0,32,24,14,10,5,6,4,86,33,101,21,103,5,0,1,2,195,1,4,253,0.9598,0,0,47
train,major,7228058,1,11,3,6,0,0,5,0,2,0,0,3,5,0,0,0,3,0,0,0,0,3,3,5,5,1,5,0,1,4,9,18,3,10,3,0,2,0,44,16,0,51,0.25,0,0,10
train,major,9114822,1,15,2,46,0,0,30,0,27,0,3,0,30,0,0,0,11,0,0,3,7,1,0,7,11,0,24,0,1,1,15,32,2,15,3,3,0,0,76,1,0,184,0.8966,0,0,65
train,major,5394068,3,1,1,0,0,0,14,0,0,0,0,14,14,0,0,0,32,0,0,0,0,32,0,0,0,0,0,0,0,32,0,32,1,32,0,0,0,0,86,1,0,14,1.0769,0,0,14
train,major,6917283,1,6,1,19,0,0,48,0,48,0,0,0,48,0,0,0,3,0,1,2,0,0,0,10,39,4,16,0,71,6,144,48,65,24,3,0,0,0,208,17,0,246,0.4823,0,0,77
train,major,9409389,1,17,2,35,0.4,0.6666667,6,0,6,0,0,0,6,0,0,0,5,0,0,0,0,5,0,8,2,2,1,1,1,20,18,23,6,16,3,0,0,0,57,24,0,112,1.2,0,17,18
train,major,5828468,1,11,1,50,0,0,18,0,9,9,0,0,9,0,0,0,43,38,0,43,0,0,37,8,37,4,21,0,8,80,10,82,9,82,7,0,0,0,152,1,18,296,0.9398,0,0,99
train,major,8987975,1,14,5,18,0,0,25,2,7,1,0,17,24,0,0,2,8,0,0,5,0,3,6,0,21,0,8,6,0,6,3,29,3,18,3,0,6,0,255,16,0,157,0.849,0,0,33
train,major,6141685,1,17,5,56,0,0,17,4,10,1,6,0,16,0,0,0,4,0,0,4,0,0,3,14,9,4,2,3,2,9,0,20,4,16,3,0,3,1,129,1,0,153,0.8125,0,0,38
train,major,4306236,1,14,1,52,0,0,18,1,16,2,0,0,16,0,0,0,6,2,1,4,1,0,3,2,13,1,18,4,0,41,3,45,16,40,2,0,0,0,155,1,9,196,0.8333,0,0,54
train,major,5359797,2,82,1,334,0,0,26,3,6,19,0,1,7,0,0,0,0,0,0,0,0,0,0,43,57,57,113,20,18,38,25,195,4,152,7,0,0,0,277,9,4,1000,0,0,6,256
train,major,5186444,1,16,1,50,-1,-1,7,7,1,6,0,0,1,0,0,0,2,2,0,2,0,0,2,7,12,1,0,3,0,11,1,21,2,22,2,0,0,2,156,1,4,93,0.8333,0,0,18
train,major,9104666,1,16,10,10,0,0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,3,3,0,0,0,0,0,1,3,0,3,0,0,1,0,26,17,0,16,0.6667,0,0,4
train,major,6571855,1,13,3,28,0,0,18,0,17,1,0,0,17,0,0,0,8,1,0,8,0,0,1,5,16,2,12,0,0,1,1,23,4,19,3,0,0,0,90,1025,0,111,0.9338,0,0,33
train,major,4558000,1,64,1,89,0,0,8,0,7,1,0,0,7,0,0,0,13,0,0,13,0,0,13,14,6,1,20,0,5,0,1,133,0,95,4,0,0,0,176,1,0,283,0.8022,0,0,53
train,major,5255988,1,12,2,58,0,0,10,1,8,2,0,0,8,0,0,0,1,1,0,1,0,0,0,8,10,1,4,0,5,76,51,42,3,25,2,0,1,0,64,1,0,278,1.0556,0,0,52
train,major,4068444,1,88,12,186,0,0,55,3,19,17,2,17,38,0,0,0,56,5,0,43,0,13,51,13,53,5,46,3,5,57,13,176,5,143,4,6,15,9,447,1,24,865,0.9724,0,0,191
train,major,6624209,1,27,2,55,0,0,4,1,3,1,0,0,3,0,0,0,4,0,0,4,0,0,0,0,0,1,4,3,0,7,14,23,0,25,8,1,0,6,100,1,0,116,0.75,0,0,17
train,major,5327402,1,12,1,26,0,0,4,0,3,1,0,0,3,0,0,0,4,1,0,4,0,0,4,2,4,2,2,2,0,7,5,16,1,14,2,0,0,0,73,1,6,66,0.6667,0,0,13
train,major,4737430,2,25,3,29,0,0,8,0,7,1,0,0,7,0,0,0,12,0,0,12,0,0,0,9,9,2,13,0,5,15,24,42,6,31,4,0,1,0,85,10,0,111,1.1429,0,18,25
train,major,6876949,1,21,1,58,0,0,15,14,5,2,8,0,13,0,1,0,1,1,0,0,1,0,0,53,24,9,8,10,3,93,15,60,11,58,3,0,0,0,228,17,0,236,0.9286,0,0,53
train,major,9111878,2,12,2,24,0,0,5,0,4,1,0,0,4,0,0,0,4,0,0,4,0,0,0,0,2,0,1,0,2,0,42,15,27,10,2,4,0,0,67,1,0,123,1.25,0,15,28
train,major,6470076,2,16,1,56,-1,-1,9,0,0,8,0,1,1,0,0,0,5,0,0,0,0,5,0,15,35,6,44,11,15,79,46,98,33,47,5,0,0,0,184,0,0,282,1.125,0,19,73
train,major,6999436,1,22,2,46,0,0,14,0,3,8,3,0,6,0,0,0,8,8,0,8,0,0,8,10,10,0,7,0,0,9,6,15,0,15,2,0,0,0,122,1,0,123,0.9712,0,0,34
train,major,7413961,1,29,4,57,0,0,26,0,20,3,0,3,23,0,0,0,19,2,0,17,0,2,15,6,22,4,13,0,7,7,4,45,2,30,4,1,4,0,115,16,0,201,0.9621,0,0,52
train,major,6858059,1,15,34,25,-1,-1,8,1,1,7,0,0,1,0,0,0,7,0,0,7,0,0,7,3,0,1,6,0,0,10,4,10,1,10,1,3,12,0,146,17,0,62,0.9388,0,0,12
train,major,6738255,1,22,3,41,0,0,11,0,4,6,1,0,5,0,0,0,6,0,0,6,0,0,2,1,1,0,8,0,2,2,3,25,2,18,3,9,2,0,127,1,0,227,0.8333,0,0,32
train,major,8132817,1,13,2,38,0,0,23,1,22,1,0,0,22,0,0,0,8,1,0,8,0,0,0,0,23,0,0,0,1,18,39,18,0,10,1,0,0,0,129,1,0,120,0.8693,0,0,27
train,major,6413795,1,30,2,42,0,0,15,0,10,4,1,0,11,0,0,0,5,4,0,5,0,0,4,35,4,0,7,1,0,14,4,46,0,38,2,1,0,0,77,1,0,191,0.8857,0,0,26
train,major,5370715,2,20,1,31,0,0,12,0,12,0,0,0,12,0,0,0,11,0,0,11,0,0,11,4,12,2,4,1,1,1,4,22,2,21,4,0,0,0,78,2,0,85,1.0909,0,15,19
train,major,4690918,1,19,1,3,0,0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,0,0,0,0,1,0,3,0,3,0,0,2,0,57,1,0,10,2,0,0,2
train,major,8334291,1,9,1,7,0,0,9,9,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,14,9,8,1,0,1,11,12,1,11,2,0,0,0,49,1,0,80,0,0,0,27
train,major,8779111,1,36,2,132,0,0,38,3,16,13,0,9,25,0,0,24,29,6,0,20,0,9,14,25,23,12,16,5,1,60,13,70,33,61,2,4,1,0,198,1,30,382,0.9224,0,0,84
train,major,4410714,2,17,2,39,0,0,6,0,1,4,0,1,2,0,0,0,0,0,0,0,0,0,0,8,3,2,19,2,1,7,10,30,2,25,4,1,0,0,61,8,0,151,0,0,1,39
train,major,4051509,2,1,1,0,0,0,3,0,1,0,0,2,3,0,0,0,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,23,8,0,10,1.5,0,2,3
train,major,9429785,1,43,5,85,0.11666667,0.175,18,1,16,2,0,0,16,0,0,0,16,3,0,6,0,10,2,5,1,1,21,0,9,26,49,75,7,63,4,4,3,0,187,1,0,371,0.9198,0,25,80
train,major,5111458,1,24,2,94,-1,-1,13,0,1,12,0,0,1,0,0,0,44,2,0,40,4,0,2,7,16,5,11,5,9,136,9,53,15,80,4,0,0,0,371,1,6,239,0.9867,0,0,60
train,major,4496340,1,12,1,68,0,0,7,0,6,1,0,0,6,0,0,0,19,9,4,15,0,0,19,21,10,10,8,0,6,22,19,95,15,72,4,0,4,0,148,1,0,222,0.8421,0,0,35
train,major,5183069,1,7,1,20,0,0,3,0,2,1,0,0,2,0,0,0,2,2,0,2,0,0,2,1,5,2,6,0,11,1,42,23,15,12,2,0,0,0,55,1,1,81,1,0,0,19
train,major,8575939,1,61,5,193,0,0,40,1,6,22,12,0,18,0,0,0,7,2,0,7,0,0,2,40,32,7,27,8,2,73,23,70,28,60,3,0,1,0,339,1,20,482,0.8755,0,0,130
train,major,5740146,1,15,1,81,0,0,65,1,62,3,0,0,63,0,0,0,19,12,1,18,0,0,12,11,74,3,49,2,27,44,57,129,29,55,2,0,5,0,218,1,0,635,0.9516,0,2,231
train,major,6350501,1,11,1,76,0,0,48,0,9,39,0,0,9,0,0,0,10,0,0,10,0,0,3,10,180,23,106,11,5,0,65,222,39,107,6,0,2,0,512,17,0,1257,0.8143,0,0,471
train,major,5182713,1,19,1,74,0,0,23,2,8,15,0,0,8,0,0,0,6,1,0,5,0,1,5,14,19,14,9,1,4,44,17,53,15,50,3,0,0,0,122,1,1,192,0.9167,0,0,52
train,major,5884892,1,18,2,24,0,0,16,0,11,1,4,0,15,0,0,0,15,2,0,14,1,0,2,1,8,2,1,3,0,17,5,27,0,24,4,2,1,0,130,1,13,173,0.9289,0,0,35
train,major,5333703,1,6,2,14,0,0,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,4,2,4,0,3,8,8,14,5,13,3,0,1,0,51,1,0,52,0.5,0,0,11
train,major,4199164,1,21,2,77,0,0,7,0,1,5,1,0,2,0,0,0,28,2,1,27,0,0,2,2,8,0,44,1,0,14,1,18,1,39,2,0,0,1,218,1,3,110,0.8274,0,0,40
train,major,8428144,1,4,1,27,0,0,10,9,9,1,0,0,9,0,0,0,1,1,0,1,0,0,1,19,21,2,22,0,2,19,25,31,6,20,4,0,0,0,140,17,0,157,1,0,0,67
train,major,4034686,1,45,1,258,0,0,39,38,10,27,0,2,13,0,0,2,12,12,0,10,0,2,12,92,41,37,28,9,16,91,45,146,17,128,6,2,14,6,564,1,4,701,0.9671,1,0,156
train,major,9309376,1,59,1,130,0.000414079,0.000414079,79,78,70,9,0,0,70,0,0,0,4,4,0,4,0,0,4,88,93,12,35,32,9,10,27,98,9,79,4,2,2,4,1099,17,0,615,1.0128,0,0,160
train,major,7372240,1,26,1,90,0,0,27,0,2,19,6,0,8,3,1,0,5,0,0,5,0,0,4,11,23,6,7,0,2,27,5,33,7,34,2,1,3,5,133,1025,0,166,0.9538,0,0,44
train,major,7356708,1,25,3,7,0,0,13,2,13,0,0,0,13,0,0,0,2,2,0,2,0,0,2,0,7,0,0,0,0,21,0,29,0,29,0,18,0,0,95,1,0,161,1,0,0,13
train,minor,4714964,1,13,1,20,0,0,5,1,4,0,0,1,5,0,0,0,3,2,0,3,0,0,2,4,2,1,5,3,0,14,5,19,3,15,3,0,0,0,75,1,3,71,0.75,0,0,16
train,minor,4452794,1,10,1,17,0,0,4,1,1,1,0,2,3,0,0,0,14,3,0,13,0,1,12,2,5,0,4,2,0,3,3,20,0,20,3,0,2,0,149,1,0,46,1.0952,0,0,10
train,minor,6464966,1,2,1,1,-1,-1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,2,0,16,8,0,4,2,0,0,0,11,24,0,28,0,0,1,12
train,minor,7101859,1,9,1,55,0,0,63,8,46,12,1,4,51,0,2,2,21,6,2,18,0,1,6,11,59,7,44,1,1,15,4,83,3,65,4,1,1,0,556,1,0,497,1.0161,0,0,148
train,minor,6195686,1,16,2,39,0,0,14,0,10,2,2,0,12,0,0,0,8,0,0,1,0,7,1,0,4,0,0,0,0,10,3,6,2,13,1,0,1,4,61,1,0,65,0.8846,0,0,16
train,minor,5609190,1,4,1,5,0,0,12,1,11,0,0,1,12,0,0,0,7,2,0,7,0,0,2,0,7,0,4,0,0,5,0,9,1,7,1,0,1,0,132,1,0,46,0.9091,0,0,16
train,minor,6493535,1,11,2,8,-1,-1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,11,4,7,3,0,1,0,74,1,0,52,0,0,0,12
train,minor,3796929,1,7,2,9,1,1,2,0,2,0,0,0,2,0,0,0,10,0,10,0,0,0,0,0,14,0,30,0,9,10,18,12,18,12,1,0,0,0,48,1,0,29,0.2,0,0,33
train,minor,7148928,1,28,3,106,0,0,15,0,2,8,5,0,7,0,0,0,27,19,0,27,0,0,20,18,5,2,6,2,2,54,18,53,4,54,4,0,0,4,184,1,11,216,0.955,0,0,46
train,minor,8023829,1,33,2,53,0,0,8,4,2,5,0,1,3,0,0,0,2,0,0,2,0,0,1,10,19,9,10,2,2,6,18,57,9,54,2,0,2,0,144,0,0,186,0.8571,0,0,43
train,minor,4456492,1,23,5,34,-1,-1,4,4,0,4,0,0,0,0,0,0,3,3,3,0,0,0,3,12,4,7,3,0,0,3,0,28,0,27,2,0,4,0,131,1,0,65,1.3333,0,0,8
train,minor,8139442,2,9,3,10,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,2,1,26,25,0,5,2,0,0,0,63,0,0,62,0,0,18,25
train,minor,6638995,1,9,1,12,0,0,11,0,8,1,2,0,10,0,0,0,6,0,0,6,0,0,6,1,8,0,1,0,1,0,4,13,0,7,0,0,1,0,105,1025,0,51,0.7,0,0,12
train,minor,9491780,1,12,1,14,0,0,4,0,4,0,0,0,4,0,0,0,17,14,3,14,0,0,14,4,2,0,1,0,1,16,1,24,1,24,1,0,0,0,100,1,0,24,0.7843,0,0,6
train,minor,6893505,2,4,1,30,0,0,12,1,10,2,0,0,10,0,0,0,12,0,0,0,0,12,5,13,12,4,4,1,1,2,5,27,0,25,5,0,0,3,64,9,0,115,1.0909,0,17,33
train,minor,3908492,1,25,2,37,0,0,14,0,13,1,0,0,13,0,0,0,10,1,0,10,0,0,1,2,4,0,0,2,0,9,1,19,0,18,2,0,0,0,113,1,4,87,0.9769,0,0,20
train,minor,8761840,2,4,2,6,-1,-1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,3,1,0,0,0,43,9,0,8,0,0,2,2
train,minor,6562309,1,15,1,22,0,0,13,0,7,2,0,4,11,0,0,0,4,0,0,4,0,0,0,0,4,2,7,0,1,0,2,18,0,15,3,0,1,0,42,1,0,85,0.6875,0,0,24
train,minor,4035683,1,27,2,75,0,0,17,0,6,11,0,0,6,0,0,0,10,2,2,7,0,1,7,1,16,8,9,2,1,17,6,46,12,41,3,0,7,0,265,0,0,204,0.9375,0,0,50
train,minor,5863439,1,11,4,19,0,0,3,0,2,1,0,0,2,0,0,0,3,1,1,2,0,0,1,0,0,0,2,4,1,7,2,19,3,13,3,0,0,0,106,1,0,61,0.6667,0,3,12
train,minor,9457050,1,7,1,16,0,0,11,11,11,0,0,0,11,0,0,0,1,1,1,0,0,0,1,6,10,1,3,1,0,21,6,9,11,7,1,0,0,0,194,17,3,81,1,0,0,25
train,minor,7274207,1,9,2,23,0,0,12,0,0,3,0,9,9,2,0,0,4,0,0,4,0,0,0,2,2,0,10,0,0,6,3,6,0,6,2,3,0,0,46,1024,0,38,0.9091,0,0,22
train,minor,7892253,1,25,1,44,0,0,9,2,4,4,0,1,5,0,0,0,12,0,0,12,0,0,10,12,5,9,14,5,9,29,31,84,20,66,4,0,2,0,217,1,0,261,0.8646,1,0,56
train,minor,8760562,1,19,4,29,0,0,4,1,3,1,0,0,3,0,0,0,2,1,0,2,0,0,1,10,6,1,3,1,5,9,14,22,6,19,3,0,2,0,106,1,0,65,1,0,0,13
train,minor,8497687,3,7,1,0,0,0,8,0,8,0,0,0,8,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,113,1,0,8,1.1429,0,0,8
train,minor,6133656,1,14,2,37,0,0,11,1,2,4,5,0,7,0,0,0,7,1,0,7,0,0,1,3,11,2,6,0,3,3,12,31,3,22,3,0,0,1,122,1,0,112,0.8714,0,0,28
train,minor,8768107,1,25,1,43,0,0,28,0,24,2,0,2,27,0,0,2,10,2,0,10,0,0,1,5,25,2,9,3,0,10,1,20,6,14,4,1,1,0,192,1,4,157,0.9226,0,0,41
train,minor,9535301,1,30,8,68,0,0,21,4,12,8,0,1,13,0,0,0,9,4,0,9,0,0,8,34,20,17,13,9,0,23,29,72,8,56,5,0,5,0,217,16,2,324,0.9,0,0,71
train,minor,6555966,1,17,5,34,0,0,19,1,11,1,0,7,18,0,1,0,3,2,0,3,0,0,3,5,12,8,17,0,3,1,21,50,8,35,3,0,0,0,219,1,2,173,0.7963,0,0,47
train,minor,8978193,1,2,1,2,0,0,8,3,7,0,1,0,8,4,4,0,1,1,1,0,0,0,1,0,4,1,0,0,0,3,1,2,2,2,1,3,0,0,158,1025,0,63,1.1429,0,0,13
train,minor,8198711,1,35,2,12,0,0,33,0,33,0,0,0,33,0,0,0,1,0,0,0,1,0,0,0,24,0,2,0,0,4,0,2,0,1,1,0,0,0,77,1025,0,100,0.9688,0,0,35
train,minor,4346994,1,6,1,18,0,0,7,6,6,1,0,0,6,0,0,0,6,6,4,2,0,0,6,3,8,0,4,1,2,4,4,12,3,12,1,0,0,0,87,17,1,44,0.8611,0,0,13
train,minor,9006303,1,3,2,16,-1,-1,1,0,1,0,0,0,1,0,0,0,3,3,2,1,0,0,3,1,2,0,2,0,0,7,0,5,0,5,2,0,0,0,45,1,5,21,0,0,0,13
train,minor,7115956,2,6,1,5,-1,-1,5,0,1,4,0,0,1,0,0,0,2,0,0,2,0,0,2,0,4,2,1,0,2,0,5,13,3,9,2,0,0,0,33,10,0,37,1.25,0,5,8
train,minor,7805103,2,18,1,45,0,0,26,0,24,0,0,2,26,0,0,0,13,0,2,6,2,3,3,19,15,0,18,0,12,6,16,54,0,25,2,0,0,0,174,9,0,206,1.04,0,21,53
train,minor,7655690,2,2,1,8,-1,-1,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,2,1,0,23,0,5,1,5,2,0,0,0,50,9,0,46,0,0,0,5
train,minor,7341179,1,24,6,38,0,0,8,0,6,0,2,0,8,0,0,0,3,3,1,2,0,0,3,18,13,1,6,1,1,5,0,13,0,12,4,0,0,0,74,17,0,84,1.0476,0,0,23
train,minor,4285911,1,7,1,5,0,0,8,0,5,0,3,0,8,1,0,0,6,2,0,6,0,0,4,1,4,0,0,1,0,1,2,10,0,7,2,0,0,0,87,1025,1,36,0.8333,0,0,10
train,minor,7563057,1,37,1,75,0,0,58,0,45,1,12,0,57,0,0,0,18,3,2,15,1,0,6,30,30,9,29,1,9,17,4,49,3,41,4,0,0,0,465,1,2,322,0.9747,0,0,93
train,minor,3925764,1,5,1,17,-1,-1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,2,1,1,0,3,0,4,0,5,2,5,2,0,0,0,38,1,4,33,0,0,0,8
train,minor,8694129,1,8,1,14,0,0,5,4,4,1,0,0,4,0,0,0,2,2,1,1,0,0,2,12,4,0,2,0,0,16,6,21,0,10,2,0,2,0,104,17,0,51,0.75,0,0,11
train,minor,5247450,1,15,1,147,0,0,24,0,0,19,0,5,5,0,0,0,2,0,0,2,0,0,2,3,19,8,12,14,0,135,9,33,6,33,2,0,0,0,125,0,0,234,0.8043,0,0,64
train,minor,7798188,1,9,1,41,0,0,5,0,1,1,0,3,4,0,0,0,1,0,0,1,0,0,1,1,17,0,2,2,1,4,0,5,2,5,2,0,0,0,72,0,0,103,0.25,0,0,35
train,minor,6554999,1,17,1,18,0,0,10,2,1,1,0,8,9,0,0,0,5,0,0,1,0,4,0,7,5,0,1,0,0,0,0,9,0,8,1,4,0,0,78,1,0,141,0.8667,0,0,19
train,minor,7638207,1,16,3,39,0.33333334,0.71428573,10,7,6,3,1,0,7,0,0,0,6,6,2,4,0,0,6,8,19,0,10,7,0,18,3,27,2,25,4,0,1,0,80,1,1,140,0.9444,0,0,38
train,minor,4493181,2,7,2,13,-1,-1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,3,0,1,0,2,1,20,0,16,2,0,0,0,82,9,0,48,0,0,5,7
train,minor,9278685,1,8,2,14,0.8333333,0.8333333,12,1,12,0,0,0,12,0,0,0,1,0,0,0,1,0,0,0,8,10,0,0,0,0,16,18,0,18,1,0,0,0,87,1,0,69,1.0909,0,0,22
train,minor,6741910,1,6,1,20,0,0,11,0,6,1,4,0,10,0,6,0,7,3,3,3,1,0,0,0,8,3,14,0,2,0,6,22,0,16,4,0,0,0,59,1025,0,88,0.9143,0,0,30
train,minor,6772589,2,8,2,19,0,0,30,0,30,0,0,0,30,0,0,0,3,2,2,0,0,1,2,2,29,2,0,0,0,25,0,5,0,4,1,1,0,0,66,9,0,127,1.0345,0,3,31
train,minor,7944953,2,19,1,48,0,0,15,0,3,0,12,0,15,0,0,0,4,0,0,4,0,0,0,1,16,8,10,3,0,38,1,5,0,6,6,0,0,0,67,9,3,145,1.0714,0,5,43
train,minor,8119000,1,5,1,53,0,0,33,33,32,1,0,0,32,0,0,0,4,4,2,2,0,0,4,19,46,15,34,0,1,23,67,59,21,47,4,0,0,0,218,1,0,300,0.9844,0,0,96
