parts,label,sample_id,constructor,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
train,none,3988942,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,1
train,major,4264057,0,5,15,8,101,1,27,2,8,1,1,6,1,0,2,2,30,51,20,6,1,0,55,1,0,1
train,none,3993481,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0
train,none,3993831,0,4,7,22,55,2,28,1,22,0,0,4,1,0,4,0,13,35,19,3,0,0,39,1,0,0
train,none,3998684,0,0,7,2,22,6,0,1,2,0,0,0,0,0,0,6,0,0,0,2,0,0,19,4,0,1
train,none,4002437,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1
train,none,4004665,0,1,1,3,3,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
train,none,4005583,0,1,6,3,19,1,0,7,3,1,1,0,0,0,0,0,0,0,0,1,0,0,22,1,0,1
train,critical,5497076,0,5,21,26,100,1,9,2,26,2,3,1,7,1,0,7,6,13,4,5,0,0,53,9,1,0
test,none,4031529,0,4,1,4,5,1,2,1,4,0,0,0,0,0,0,0,3,2,3,0,0,0,7,8,0,0
train,none,4032154,0,3,2,3,10,1,3,1,3,0,0,1,0,0,0,0,3,5,1,1,0,0,8,2,0,0
test,none,4038193,0,4,1,3,3,0,0,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,30,9,0,1
train,none,4038375,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0
test,none,4041399,0,9,2,8,8,1,1,1,8,0,0,0,1,0,0,1,0,2,0,1,0,0,6,1,0,0
train,none,4042280,0,12,3,9,8,1,2,1,9,2,1,0,1,0,0,0,0,3,0,1,0,0,16,1,0,0
train,none,4042328,0,3,1,4,4,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,18,1,0,0
train,none,4043104,0,1,1,2,4,1,1,0,2,2,2,0,0,0,2,0,1,1,2,0,0,0,11,1,0,0
train,none,4043468,1,2,1,0,4,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7,1,0,0
test,none,4044091,0,4,2,6,11,0,2,2,6,0,0,0,0,1,0,0,0,2,0,1,0,0,14,1,0,0
train,none,4045122,0,4,2,1,8,1,2,2,1,1,1,1,0,0,0,0,2,4,1,1,0,0,12,9,0,0
train,none,4045338,0,3,1,1,5,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14,10,0,0
test,none,4051372,0,0,3,5,8,2,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,9,1,0,0
train,none,4055848,0,3,5,9,13,3,2,3,9,3,3,0,0,0,0,0,0,2,0,1,0,0,78,9,0,1
test,none,4057674,0,1,1,1,3,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,25,9,0,1
train,none,4057866,0,2,3,6,13,0,1,2,6,1,1,0,0,0,0,1,1,1,1,1,0,0,16,4,0,0
train,none,4059172,0,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
train,none,4059491,0,2,2,1,8,0,1,1,1,0,0,0,1,0,0,0,0,2,0,1,0,0,10,1,0,0
train,none,4062999,0,5,1,6,17,0,3,1,6,0,0,0,0,0,0,1,0,3,0,0,1,0,18,1,0,0
train,none,4068177,0,9,3,14,19,0,3,1,14,0,0,0,1,1,0,2,0,3,0,2,0,0,20,8,0,0
train,none,4069589,0,0,1,0,6,1,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,5,24,0,0
train,none,4072597,0,3,1,5,6,1,1,2,5,3,1,0,0,0,0,0,0,1,0,0,0,0,15,1,0,0
train,none,4072654,0,3,2,4,7,2,1,0,4,1,1,0,1,0,0,0,0,1,0,1,0,0,14,2,0,1
train,none,4073701,0,2,3,5,13,1,0,1,5,2,15,0,0,1,0,0,0,0,0,1,0,0,14,1,0,0
test,none,4073835,1,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0,0
train,none,4074807,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
train,none,4075888,0,4,3,13,15,0,4,3,13,0,0,1,1,1,0,0,0,4,0,1,0,0,17,2,0,0
train,none,4081252,0,13,1,9,7,1,3,1,9,0,0,0,0,0,0,0,0,3,0,0,0,0,26,1,0,0
train,none,4083880,0,2,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0
train,none,4088843,0,3,2,10,8,0,1,0,10,1,1,0,0,0,0,2,0,2,0,1,0,0,24,1,0,0
train,none,4089742,0,1,2,5,11,1,5,1,5,1,1,0,1,0,0,4,1,6,2,1,0,0,32,10,0,1
test,major,5712776,0,1,25,13,96,1,2,0,13,8,1,0,7,0,0,28,0,12,0,2,0,0,22,1,0,0
train,none,4095182,0,1,8,15,20,0,3,0,15,4,8,1,3,0,0,0,0,3,0,2,0,0,19,2,0,0
train,major,7987571,0,4,18,20,92,4,4,0,20,2,68,1,11,1,0,2,11,11,0,11,0,0,58,17,0,0
train,none,4097968,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
train,none,4098093,0,3,2,3,7,0,1,0,3,1,1,0,1,0,0,0,0,2,0,1,0,0,9,1,0,0
train,none,4101390,0,4,1,2,3,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
test,none,4104993,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
train,none,4106345,0,3,4,6,8,1,2,1,6,0,0,1,0,0,0,1,0,2,1,2,0,0,14,2,0,0
train,none,4106430,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
train,none,4106696,1,3,1,0,6,0,0,4,0,0,0,0,0,0,0,0,2,4,0,0,0,0,15,1,0,0
train,critical,7492767,0,50,9,69,90,1,31,8,69,8,11,1,3,7,0,8,1,29,1,5,0,5,108,2,0,0
train,none,4110816,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0
train,none,4112198,0,6,2,4,7,1,1,1,4,0,0,0,1,0,0,0,0,2,0,1,0,0,26,4,0,0
train,none,4113404,0,2,4,6,14,2,2,1,6,0,0,0,0,1,0,1,6,2,0,2,0,0,11,10,0,0
train,none,4116762,0,6,3,7,7,0,1,2,7,1,1,0,0,0,0,1,0,1,0,1,0,0,18,2,1,0
train,none,4122935,0,6,2,6,9,2,1,3,6,0,0,0,0,0,0,0,0,1,0,1,0,0,6,4,0,0
train,none,4124650,0,2,1,1,3,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
train,none,4128743,0,2,3,2,3,1,0,1,2,0,0,0,2,0,3,0,0,0,0,0,0,0,4,1,0,0
train,none,4130189,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
test,none,4132083,1,1,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0
train,none,4132362,0,2,1,3,7,1,2,2,3,2,1,0,0,0,0,0,0,2,1,0,0,0,14,1,0,0
test,none,4135214,0,1,3,2,10,1,0,0,2,2,1,0,1,0,0,0,1,1,1,1,0,0,10,1,0,0
test,none,4137834,0,3,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0
test,none,4138124,0,8,2,7,10,2,3,1,7,1,1,0,1,0,0,0,0,3,0,1,0,0,17,1,0,0
train,none,4139640,0,8,5,8,17,3,5,2,8,0,0,0,2,0,1,0,0,5,0,2,0,0,23,1,0,0
train,none,4140046,0,2,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0
train,none,4140191,0,7,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,9,0,1
train,none,4140914,0,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
train,none,4144417,0,5,1,3,3,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0
test,none,4144475,0,4,4,4,12,1,2,2,4,0,0,1,2,0,2,0,1,4,0,2,0,0,33,4,0,1
test,none,4151853,0,4,1,0,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0
test,none,4157934,0,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
train,none,4159069,0,3,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0
train,none,4162084,0,6,1,8,12,1,2,6,8,2,6,0,0,0,0,0,0,2,0,0,0,0,21,1,0,0
test,none,4162330,0,2,2,2,7,2,1,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,18,4,0,1
train,none,4169148,0,4,3,6,16,0,2,0,6,0,0,0,0,1,0,7,1,2,2,2,0,0,12,1,3,0
train,none,4171343,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0
train,none,4172212,1,2,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,7,1,0,0
train,critical,4356398,0,17,40,44,90,6,10,4,44,16,9,0,18,0,22,0,2,25,0,4,0,0,141,0,0,1
train,none,4184807,0,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0
train,none,4185249,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,4,1,0,0
test,none,4188059,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
train,none,4188990,0,1,2,2,6,0,0,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,8,1,0,0
train,none,4195038,0,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
test,none,4195808,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,0
test,none,4197031,0,1,4,2,4,2,0,1,2,0,0,1,1,0,0,0,0,0,0,3,0,0,19,1,0,1
train,none,4197431,0,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0
train,none,4197753,0,6,3,9,10,1,4,0,9,1,1,1,0,0,0,5,0,4,1,2,0,0,33,9,0,1
